group,variable,value
A,01,11
B,01,27
C,01,12
D,01,16
E,01,8
F,01,8
G,01,7
H,01,4
I,01,4
A,02,15
B,02,17
C,02,21
D,02,8
E,02,12
F,02,17
G,02,7
H,02,6
I,02,4
A,03,11
B,03,21
C,03,4
D,03,22
E,03,17
F,03,21
G,03,6
H,03,13
I,03,13
A,04,11
B,04,11
C,04,22
D,04,18
E,04,12
F,04,4
G,04,6
H,04,6
I,04,6
A,05,9
B,05,10
C,05,20
D,05,11
E,05,16
F,05,12
G,05,6
H,05,1
I,05,8
A,06,15
B,06,9
C,06,12
D,06,10
E,06,6
F,06,7
G,06,10
H,06,5
I,06,8
A,07,5
B,07,15
C,07,9
D,07,2
E,07,11
F,07,20
G,07,16
H,07,26
I,07,8
A,08,9
B,08,18
C,08,10
D,08,12
E,08,10
F,08,8
G,08,2
H,08,15
I,08,21
A,09,16
B,09,19
C,09,10
D,09,4
E,09,7
F,09,12
G,09,10
H,09,15
I,09,16
A,10,8
B,10,9
C,10,8
D,10,6
E,10,3
F,10,15
G,10,21
H,10,8
I,10,5
A,11,5
B,11,13
C,11,1
D,11,13
E,11,11
F,11,6
G,11,3
H,11,13
I,11,9
A,12,6
B,12,3
C,12,4
D,12,5
E,12,14
F,12,21
G,12,12
H,12,8
I,12,1
A,13,9
B,13,2
C,13,9
D,13,25
E,13,24
F,13,9
G,13,4
H,13,10
I,13,1
A,14,10
B,14,11
C,14,3
D,14,32
E,14,28
F,14,15
G,14,5
H,14,12
I,14,7
A,15,3
B,15,8
C,15,8
D,15,14
E,15,15
F,15,17
G,15,18
H,15,10
I,15,13
A,16,9
B,16,4
C,16,7
D,16,19
E,16,20
F,16,9
G,16,6
H,16,6
I,16,4
A,17,4
B,17,6
C,17,5
D,17,7
E,17,14
F,17,13
G,17,5
H,17,2
I,17,5
A,18,3
C,18,11
D,18,5
E,18,1
F,18,4
G,18,7
H,18,5
I,18,12
A,19,6
B,19,7
C,19,8
D,19,5
E,19,5
F,19,10
G,19,3
H,19,6
A,20,3
B,20,13
C,20,9
D,20,3
E,20,2
F,20,17
G,20,6
A,21,9
B,21,12
C,21,6
D,21,12
E,21,5
F,21,11
G,21,11
H,21,6
A,22,9
B,22,12
C,22,16
D,22,7
E,22,2
F,22,15
G,22,8
H,22,4
I,22,3
A,23,5
B,23,7
C,23,5
D,23,1
E,23,1
F,23,5
H,23,1
I,23,4
A,24,7
B,24,1
I,24,1
A,25,6
B,25,2
I,25,11
A,26,8
B,26,1
I,26,8
A,27,3
B,27,2
I,27,9
A,28,6
B,28,3
C,28,4
D,28,8
I,28,2
A,29,4
B,29,7
C,29,8
D,29,8
H,29,2
I,29,1
A,30,5
B,30,21
C,30,3
D,30,2
E,30,4
F,30,1
H,30,4
I,30,7
A,31,9
B,31,7
C,31,4
D,31,11
E,31,10
F,31,6
G,31,1
H,31,5
I,31,4
A,32,14
B,32,10
C,32,19
D,32,15
E,32,30
F,32,15
G,32,5
H,32,4
I,32,9
A,33,5
B,33,18
C,33,6
D,33,12
E,33,22
F,33,8
G,33,5
H,33,2
I,33,14
A,34,8
B,34,4
C,34,6
D,34,6
E,34,2
F,34,2
G,34,2
H,34,8
I,34,11
A,35,20
B,35,11
C,35,14
D,35,11
E,35,11
F,35,4
G,35,3
H,35,2
I,35,3
A,36,11
B,36,9
C,36,10
D,36,3
E,36,5
F,36,12
G,36,2
H,36,4
I,36,21
A,37,3
B,37,11
C,37,9
D,37,10
E,37,14
F,37,4
G,37,15
H,37,10
I,37,7
A,38,10
B,38,7
C,38,21
D,38,10
E,38,17
F,38,12
G,38,11
H,38,2
I,38,6
A,39,4
B,39,7
C,39,8
D,39,10
E,39,7
F,39,9
G,39,9
H,39,7
I,39,4
A,40,10
B,40,17
C,40,15
D,40,14
E,40,7
F,40,3
G,40,8
H,40,2
I,40,3
A,41,7
B,41,16
C,41,11
D,41,10
E,41,11
F,41,2
G,41,2
I,41,3
A,42,2
B,42,2
C,42,10
D,42,7
E,42,6
F,42,6
G,42,6
H,42,7
I,42,3
