group,variable,value
A,01,2
B,01,5
C,01,2
D,01,3
E,01,2
F,01,1
G,01,2
H,01,2
I,01,1
A,02,1
B,02,4
C,02,4
D,02,3
E,02,2
F,02,2
G,02,1
H,02,5
I,02,5
A,03,3
B,03,4
C,03,4
D,03,3
E,03,2
F,03,1
G,03,3
H,03,4
I,03,6
A,04,4
B,04,1
C,04,1
D,04,1
E,04,5
F,04,3
G,04,6
H,04,2
I,04,1
A,05,1
B,05,7
C,05,10
D,05,3
E,05,1
F,05,2
G,05,1
H,05,2
I,05,4
A,06,1
B,06,2
C,06,2
D,06,3
E,06,4
F,06,1
G,06,5
H,06,6
I,06,1
A,07,3
B,07,1
C,07,1
D,07,5
E,07,3
F,07,5
G,07,1
H,07,1
I,07,5
A,08,4
B,08,2
C,08,1
D,08,3
E,08,7
F,08,4
G,08,3
H,08,1
I,08,1
A,09,4
B,09,2
C,09,3
D,09,1
E,09,1
F,09,5
G,09,3
H,09,1
I,09,2
A,10,6
B,10,3
C,10,1
D,10,1
E,10,2
F,10,1
G,10,4
H,10,5
I,10,1
A,11,2
B,11,1
C,11,1
D,11,3
E,11,1
F,11,4
G,11,4
H,11,2
I,11,2
A,12,4
B,12,1
C,12,3
D,12,2
E,12,2
F,12,2
G,12,3
H,12,3
I,12,4
A,13,5
B,13,2
C,13,2
D,13,4
E,13,5
F,13,2
G,13,2
H,13,1
I,13,1
A,14,1
B,14,1
C,14,2
D,14,2
E,14,5
F,14,3
G,14,1
H,14,3
I,14,3
A,15,3
B,15,1
C,15,2
D,15,1
E,15,6
F,15,2
G,15,2
H,15,1
I,15,4
A,16,1
B,16,2
C,16,1
D,16,1
E,16,1
F,16,7
G,16,1
H,16,3
I,16,1
A,17,3
B,17,2
C,17,1
D,17,2
E,17,4
F,17,2
G,17,1
H,17,1
I,17,6
A,18,1
C,18,1
D,18,5
E,18,2
F,18,1
G,18,1
H,18,2
I,18,1
A,19,2
B,19,1
C,19,1
D,19,2
E,19,2
F,19,2
G,19,1
H,19,3
A,20,1
B,20,4
C,20,2
D,20,2
E,20,1
F,20,2
G,20,1
A,21,1
B,21,2
C,21,1
D,21,2
E,21,1
F,21,9
G,21,2
H,21,1
A,22,1
B,22,1
C,22,2
D,22,4
E,22,2
F,22,1
G,22,1
H,22,5
I,22,2
A,23,3
B,23,3
C,23,8
D,23,5
E,23,1
F,23,2
H,23,7
I,23,1
A,24,1
B,24,3
I,24,5
A,25,5
B,25,1
I,25,3
A,26,5
B,26,3
I,26,1
A,27,1
B,27,2
I,27,1
A,28,1
B,28,1
C,28,2
D,28,2
I,28,4
A,29,4
B,29,4
C,29,1
D,29,3
H,29,1
I,29,2
A,30,1
B,30,1
C,30,1
D,30,1
E,30,1
F,30,2
H,30,1
I,30,1
A,31,3
B,31,1
C,31,1
D,31,1
E,31,5
F,31,2
G,31,4
H,31,1
I,31,6
A,32,2
B,32,1
C,32,2
D,32,1
E,32,3
F,32,3
G,32,1
H,32,1
I,32,3
A,33,3
B,33,2
C,33,3
D,33,1
E,33,2
F,33,5
G,33,7
H,33,3
I,33,1
A,34,2
B,34,1
C,34,2
D,34,1
E,34,2
F,34,2
G,34,1
H,34,
I,34,
A,35,
B,35,
C,35,
D,35,
E,35,
F,35,
G,35,
H,35,
I,35,
A,36,
B,36,
C,36,
D,36,
E,36,
F,36,
G,36,
H,36,
I,36,
A,37,
B,37,
C,37,
D,37,
E,37,
F,37,
G,37,
H,37,
I,37,
A,38,
B,38,
C,38,
D,38,
E,38,
F,38,
G,38,
H,38,
I,38,
A,39,
B,39,
C,39,
D,39,
E,39,
F,39,
G,39,
H,39,
I,39,
A,40,
B,40,
C,40,
D,40,
E,40,
F,40,
G,40,
H,40,
I,40,
A,41,
B,41,
C,41,
D,41,
E,41,
F,41,
G,41,
I,41,
A,42,
B,42,
C,42,
D,42,
E,42,
F,42,
G,42,
H,42,
I,42,
