group,variable,value
A,01,1
B,01,12
C,01,1
D,01,2
E,01,6
F,01,2
G,01,2
H,01,1
I,01,6
A,02,4
B,02,5
C,02,2
D,02,2
E,02,3
F,02,3
G,02,3
H,02,2
I,02,2
A,03,7
B,03,2
C,03,5
D,03,2
E,03,2
F,03,1
G,03,3
H,03,7
I,03,7
A,04,5
B,04,3
C,04,2
D,04,1
E,04,2
F,04,1
G,04,3
H,04,4
I,04,7
A,05,2
B,05,4
C,05,4
D,05,4
E,05,3
F,05,4
G,05,1
H,05,1
I,05,3
A,06,1
B,06,1
C,06,2
D,06,3
E,06,2
F,06,2
G,06,8
H,06,2
I,06,4
A,07,5
B,07,5
C,07,6
D,07,6
E,07,3
F,07,3
G,07,5
H,07,2
I,07,7
A,08,4
B,08,4
C,08,3
D,08,3
E,08,4
F,08,6
G,08,3
H,08,3
I,08,1
A,09,4
B,09,3
C,09,4
D,09,1
E,09,2
F,09,6
G,09,3
H,09,3
I,09,8
A,10,5
B,10,3
C,10,2
D,10,1
E,10,1
F,10,3
G,10,10
H,10,1
I,10,4
A,11,1
B,11,2
C,11,6
D,11,7
E,11,6
F,11,2
G,11,1
H,11,1
I,11,6
A,12,15
B,12,9
C,12,8
D,12,2
E,12,1
F,12,3
G,12,3
H,12,2
I,12,7
A,13,2
B,13,4
C,13,2
D,13,5
E,13,2
F,13,2
G,13,7
H,13,2
I,13,3
A,14,1
B,14,1
C,14,3
D,14,1
E,14,1
F,14,7
G,14,1
H,14,2
I,14,1
A,15,4
B,15,3
C,15,4
D,15,1
E,15,3
F,15,2
G,15,4
H,15,2
I,15,2
A,16,2
B,16,4
C,16,1
D,16,6
E,16,2
F,16,2
G,16,6
H,16,1
I,16,1
A,17,3
B,17,3
C,17,2
D,17,2
E,17,4
F,17,1
G,17,4
H,17,1
I,17,4
A,18,2
C,18,3
D,18,3
E,18,2
F,18,1
G,18,2
H,18,1
I,18,1
A,19,1
B,19,1
C,19,2
D,19,2
E,19,1
F,19,1
G,19,1
H,19,3
A,20,2
B,20,5
C,20,2
D,20,1
E,20,3
F,20,10
G,20,2
A,21,1
B,21,6
C,21,3
D,21,1
E,21,4
F,21,3
G,21,1
H,21,1
A,22,4
B,22,10
C,22,12
D,22,3
E,22,1
F,22,1
G,22,2
H,22,1
I,22,1
A,23,3
B,23,5
C,23,1
D,23,3
E,23,1
F,23,1
H,23,1
I,23,1
A,24,1
B,24,2
I,24,4
A,25,3
B,25,1
I,25,2
A,26,4
B,26,1
I,26,3
A,27,2
B,27,6
I,27,1
A,28,1
B,28,4
C,28,1
D,28,7
I,28,4
A,29,1
B,29,3
C,29,1
D,29,2
H,29,2
I,29,1
A,30,1
B,30,2
C,30,10
D,30,2
E,30,1
F,30,3
H,30,1
I,30,1
A,31,1
B,31,3
C,31,2
D,31,1
E,31,1
F,31,4
G,31,2
H,31,2
I,31,2
A,32,2
B,32,1
C,32,1
D,32,4
E,32,1
F,32,1
G,32,2
H,32,1
I,32,2
A,33,1
B,33,1
C,33,2
D,33,3
E,33,1
F,33,1
G,33,1
H,33,1
I,33,1
A,34,8
B,34,4
C,34,6
D,34,6
E,34,2
F,34,2
G,34,2
H,34,8
I,34,11
A,35,20
B,35,11
C,35,14
D,35,11
E,35,11
F,35,4
G,35,3
H,35,2
I,35,3
A,36,11
B,36,9
C,36,10
D,36,3
E,36,5
F,36,12
G,36,2
H,36,4
I,36,21
A,37,3
B,37,11
C,37,9
D,37,10
E,37,14
F,37,4
G,37,15
H,37,10
I,37,7
A,38,10
B,38,7
C,38,21
D,38,10
E,38,17
F,38,12
G,38,11
H,38,2
I,38,6
A,39,4
B,39,7
C,39,8
D,39,10
E,39,7
F,39,9
G,39,9
H,39,7
I,39,4
A,40,10
B,40,17
C,40,15
D,40,14
E,40,7
F,40,3
G,40,8
H,40,2
I,40,3
A,41,7
B,41,16
C,41,11
D,41,10
E,41,11
F,41,2
G,41,2
I,41,3
A,42,2
B,42,2
C,42,10
D,42,7
E,42,6
F,42,6
G,42,6
H,42,7
I,42,3
