group,variable,value
A,01,1
B,01,5
C,01,1
D,01,4
E,01,1
F,01,1
G,01,6
H,01,4
I,01,3
A,02,2
B,02,1
C,02,8
D,02,2
E,02,2
F,02,1
G,02,3
H,02,2
I,02,13
A,03,3
B,03,5
C,03,1
D,03,2
E,03,6
F,03,2
G,03,1
H,03,11
I,03,3
A,04,2
B,04,1
C,04,1
D,04,2
E,04,5
F,04,7
G,04,9
H,04,3
I,04,3
A,05,4
B,05,5
C,05,1
D,05,1
E,05,3
F,05,1
G,05,2
H,05,1
I,05,3
A,06,2
B,06,2
C,06,4
D,06,6
E,06,4
F,06,7
G,06,2
H,06,6
I,06,3
A,07,2
B,07,1
C,07,1
D,07,2
E,07,4
F,07,3
G,07,6
H,07,4
I,07,3
A,08,1
B,08,1
C,08,2
D,08,2
E,08,2
F,08,2
G,08,2
H,08,1
I,08,1
A,09,1
B,09,5
C,09,3
D,09,1
E,09,1
F,09,3
G,09,2
H,09,1
I,09,1
A,10,1
B,10,1
C,10,1
D,10,6
E,10,2
F,10,1
G,10,1
H,10,4
I,10,6
A,11,2
B,11,2
C,11,3
D,11,7
E,11,2
F,11,2
G,11,2
H,11,1
I,11,2
A,12,3
B,12,4
C,12,5
D,12,4
E,12,3
F,12,2
G,12,3
H,12,3
I,12,3
A,13,6
B,13,4
C,13,7
D,13,1
E,13,1
F,13,1
G,13,6
H,13,6
I,13,1
A,14,1
B,14,6
C,14,1
D,14,3
E,14,1
F,14,6
G,14,4
H,14,3
I,14,2
A,15,1
B,15,4
C,15,1
D,15,3
E,15,2
F,15,3
G,15,4
H,15,2
I,15,2
A,16,2
B,16,1
C,16,7
D,16,1
E,16,1
F,16,2
G,16,3
H,16,1
I,16,2
A,17,3
B,17,2
C,17,2
D,17,1
E,17,2
F,17,5
G,17,1
H,17,1
I,17,3
A,18,1
C,18,1
D,18,1
E,18,1
F,18,1
G,18,1
H,18,2
I,18,1
A,19,1
B,19,5
C,19,1
D,19,1
E,19,3
F,19,1
G,19,1
H,19,3
A,20,2
B,20,2
C,20,2
D,20,1
E,20,2
F,20,3
G,20,1
A,21,2
B,21,7
C,21,1
D,21,3
E,21,1
F,21,1
G,21,2
H,21,1
A,22,2
B,22,1
C,22,1
D,22,4
E,22,3
F,22,6
G,22,7
H,22,1
I,22,7
A,23,1
B,23,1
C,23,1
D,23,1
E,23,1
F,23,3
H,23,2
I,23,1
A,24,3
B,24,4
I,24,3
A,25,4
B,25,2
I,25,1
A,26,2
B,26,3
I,26,7
A,27,6
B,27,1
I,27,1
A,28,1
B,28,3
C,28,6
D,28,4
I,28,3
A,29,2
B,29,1
C,29,5
D,29,3
H,29,1
I,29,5
A,30,4
B,30,3
C,30,1
D,30,3
E,30,1
F,30,9
H,30,5
I,30,3
A,31,4
B,31,3
C,31,2
D,31,1
E,31,2
F,31,2
G,31,1
H,31,4
I,31,3
A,32,5
B,32,3
C,32,8
D,32,9
E,32,3
F,32,6
G,32,2
H,32,6
I,32,1
A,33,4
B,33,3
C,33,2
D,33,2
E,33,1
F,33,3
G,33,4
H,33,3
I,33,3
A,34,1
B,34,2
C,34,6
D,34,3
E,34,3
F,34,4
G,34,4
H,34,10
I,34,3
A,35,10
B,35,6
C,35,5
D,35,2
E,35,1
F,35,2
G,35,4
H,35,4
I,35,2
A,36,4
B,36,5
C,36,2
D,36,6
E,36,3
F,36,13
G,36,3
H,36,7
I,36,4
A,37,2
B,37,2
C,37,2
D,37,2
E,37,5
F,37,3
G,37,8
H,37,2
I,37,2
A,38,2
B,38,1
C,38,4
D,38,4
E,38,5
F,38,1
G,38,2
H,38,2
I,38,
A,39,
B,39,
C,39,
D,39,
E,39,
F,39,
G,39,
H,39,
I,39,
A,40,
B,40,
C,40,
D,40,
E,40,
F,40,
G,40,
H,40,
I,40,
A,41,
B,41,
C,41,
D,41,
E,41,
F,41,
G,41,
I,41,
A,42,
B,42,
C,42,
D,42,
E,42,
F,42,
G,42,
H,42,
I,42,
