group,variable,value
A,01,2
B,01,7
C,01,0
D,01,2
E,01,0
F,01,0
G,01,3
H,01,0
I,01,0
A,02,1
B,02,0
C,02,3
D,02,1
E,02,0
F,02,1
G,02,0
H,02,1
I,02,0
A,03,0
B,03,1
C,03,0
D,03,1
E,03,0
F,03,0
G,03,0
H,03,0
I,03,0
A,04,0
B,04,1
C,04,4
D,04,4
E,04,2
F,04,0
G,04,0
H,04,0
I,04,1
A,05,0
B,05,0
C,05,1
D,05,1
E,05,0
F,05,1
G,05,0
H,05,0
I,05,0
A,06,7
B,06,4
C,06,2
D,06,2
E,06,2
F,06,2
G,06,2
H,06,0
I,06,1
A,07,0
B,07,4
C,07,1
D,07,0
E,07,0
F,07,2
G,07,0
H,07,4
I,07,1
A,08,2
B,08,0
C,08,0
D,08,1
E,08,2
F,08,0
G,08,0
H,08,4
I,08,3
A,09,4
B,09,0
C,09,2
D,09,0
E,09,0
F,09,0
G,09,0
H,09,2
I,09,0
A,10,0
B,10,0
C,10,0
D,10,1
E,10,0
F,10,0
G,10,6
H,10,0
I,10,0
A,11,0
B,11,5
C,11,0
D,11,0
E,11,0
F,11,0
G,11,0
H,11,2
I,11,0
A,12,1
B,12,2
C,12,1
D,12,0
E,12,0
F,12,2
G,12,3
H,12,0
I,12,0
A,13,1
B,13,0
C,13,0
D,13,4
E,13,0
F,13,0
G,13,0
H,13,0
I,13,0
A,14,2
B,14,1
C,14,0
D,14,2
E,14,2
F,14,3
G,14,0
H,14,2
I,14,0
A,15,0
B,15,0
C,15,0
D,15,2
E,15,0
F,15,1
G,15,4
H,15,2
I,15,0
A,16,0
B,16,1
C,16,1
D,16,2
E,16,3
F,16,0
G,16,0
H,16,0
I,16,0
A,17,0
B,17,2
C,17,0
D,17,1
E,17,2
F,17,0
G,17,2
H,17,0
I,17,0
A,18,0
C,18,2
D,18,0
E,18,0
F,18,0
G,18,0
H,18,2
I,18,1
A,19,0
B,19,0
C,19,2
D,19,0
E,19,0
F,19,3
G,19,0
H,19,0
A,20,0
B,20,2
C,20,2
D,20,0
E,20,0
F,20,0
G,20,0
A,21,2
B,21,2
C,21,2
D,21,0
E,21,2
F,21,0
G,21,3
H,21,1
A,22,0
B,22,2
C,22,1
D,22,0
E,22,0
F,22,1
G,22,1
H,22,0
I,22,0
A,23,0
B,23,3
C,23,1
D,23,0
E,23,0
F,23,0
H,23,0
I,23,0
A,24,0
B,24,0
I,24,0
A,25,1
B,25,0
I,25,2
A,26,4
B,26,0
I,26,0
A,27,1
B,27,1
I,27,0
A,28,1
B,28,0
C,28,0
D,28,0
I,28,0
A,29,0
B,29,0
C,29,1
D,29,0
H,29,0
I,29,0
A,30,0
B,30,1
C,30,0
D,30,0
E,30,1
F,30,0
H,30,0
I,30,0
A,31,0
B,31,2
C,31,0
D,31,0
E,31,2
F,31,0
G,31,0
H,31,0
I,31,0
A,32,3
B,32,0
C,32,4
D,32,0
E,32,2
F,32,4
G,32,0
H,32,0
I,32,0
A,33,0
B,33,0
C,33,2
D,33,2
E,33,5
F,33,1
G,33,0
H,33,0
I,33,0
A,34,3
B,34,0
C,34,0
D,34,0
E,34,0
F,34,0
G,34,0
H,34,0
I,34,0
A,35,2
B,35,0
C,35,0
D,35,0
E,35,0
F,35,0
G,35,0
H,35,0
I,35,0
A,36,1
B,36,2
C,36,3
D,36,0
E,36,0
F,36,0
G,36,0
H,36,0
I,36,5
A,37,0
B,37,0
C,37,0
D,37,1
E,37,1
F,37,0
G,37,1
H,37,0
I,37,0
A,38,2
B,38,0
C,38,1
D,38,0
E,38,3
F,38,0
G,38,3
H,38,0
I,38,0
A,39,2
B,39,0
C,39,0
D,39,2
E,39,1
F,39,0
G,39,2
H,39,0
I,39,1
A,40,0
B,40,2
C,40,4
D,40,1
E,40,0
F,40,0
G,40,0
H,40,0
I,40,0
A,41,0
B,41,3
C,41,0
D,41,0
E,41,0
F,41,0
G,41,0
I,41,0
A,42,0
B,42,0
C,42,0
D,42,1
E,42,0
F,42,0
G,42,0
H,42,2
I,42,0
