group,variable,value
A,01,2
B,01,5
C,01,2
D,01,3
E,01,2
F,01,1
G,01,2
H,01,0
I,01,2
A,02,1
B,02,1
C,02,4
D,02,4
E,02,3
F,02,2
G,02,0
H,02,2
I,02,0
A,03,1
B,03,5
C,03,0
D,03,5
E,03,3
F,03,4
G,03,4
H,03,3
I,03,2
A,04,1
B,04,3
C,04,4
D,04,6
E,04,4
F,04,0
G,04,1
H,04,1
I,04,1
A,05,5
B,05,3
C,05,6
D,05,2
E,05,0
F,05,0
G,05,1
H,05,0
I,05,1
A,06,7
B,06,0
C,06,10
D,06,3
E,06,0
F,06,1
G,06,2
H,06,1
I,06,2
A,07,4
B,07,1
C,07,2
D,07,0
E,07,2
F,07,3
G,07,0
H,07,4
I,07,1
A,08,5
B,08,6
C,08,0
D,08,1
E,08,3
F,08,1
G,08,0
H,08,1
I,08,5
A,09,3
B,09,5
C,09,1
D,09,0
E,09,0
F,09,1
G,09,5
H,09,0
I,09,4
A,10,0
B,10,2
C,10,1
D,10,3
E,10,0
F,10,7
G,10,4
H,10,3
I,10,0
A,11,0
B,11,1
C,11,1
D,11,4
E,11,2
F,11,3
G,11,1
H,11,1
I,11,5
A,12,3
B,12,1
C,12,0
D,12,2
E,12,6
F,12,3
G,12,1
H,12,1
I,12,0
A,13,2
B,13,1
C,13,4
D,13,5
E,13,0
F,13,1
G,13,2
H,13,1
I,13,1
A,14,3
B,14,0
C,14,1
D,14,4
E,14,4
F,14,2
G,14,2
H,14,0
I,14,4
A,15,1
B,15,3
C,15,2
D,15,2
E,15,2
F,15,3
G,15,3
H,15,4
I,15,5
A,16,2
B,16,0
C,16,2
D,16,4
E,16,5
F,16,2
G,16,2
H,16,1
I,16,1
A,17,1
B,17,1
C,17,0
D,17,2
E,17,2
F,17,5
G,17,3
H,17,1
I,17,3
A,18,3
C,18,3
D,18,1
E,18,0
F,18,0
G,18,2
H,18,1
I,18,6
A,19,0
B,19,0
C,19,2
D,19,2
E,19,1
F,19,4
G,19,1
H,19,2
A,20,1
B,20,0
C,20,1
D,20,1
E,20,0
F,20,7
G,20,1
A,21,3
B,21,1
C,21,3
D,21,2
E,21,1
F,21,2
G,21,4
H,21,2
A,22,1
B,22,1
C,22,6
D,22,1
E,22,1
F,22,5
G,22,2
H,22,1
I,22,1
A,23,2
B,23,1
C,23,2
D,23,1
E,23,0
F,23,1
H,23,0
I,23,2
A,24,2
B,24,0
I,24,0
A,25,2
B,25,1
I,25,3
A,26,1
B,26,0
I,26,4
A,27,0
B,27,0
I,27,2
A,28,0
B,28,2
C,28,1
D,28,2
I,28,1
A,29,0
B,29,1
C,29,2
D,29,1
H,29,2
I,29,0
A,30,1
B,30,9
C,30,0
D,30,0
E,30,2
F,30,1
H,30,1
I,30,1
A,31,0
B,31,2
C,31,4
D,31,2
E,31,1
F,31,1
G,31,0
H,31,5
I,31,0
A,32,0
B,32,2
C,32,3
D,32,3
E,32,8
F,32,5
G,32,1
H,32,2
I,32,7
A,33,1
B,33,1
C,33,3
D,33,5
E,33,5
F,33,1
G,33,3
H,33,0
I,33,5
A,34,3
B,34,1
C,34,1
D,34,2
E,34,0
F,34,1
G,34,1
H,34,1
I,34,2
A,35,2
B,35,4
C,35,4
D,35,4
E,35,0
F,35,1
G,35,3
H,35,1
I,35,2
A,36,0
B,36,1
C,36,1
D,36,1
E,36,1
F,36,0
G,36,0
H,36,1
I,36,2
A,37,1
B,37,1
C,37,0
D,37,3
E,37,1
F,37,1
G,37,1
H,37,5
I,37,2
A,38,4
B,38,1
C,38,6
D,38,0
E,38,2
F,38,1
G,38,0
H,38,0
I,38,0
A,39,0
B,39,2
C,39,1
D,39,3
E,39,0
F,39,3
G,39,1
H,39,0
I,39,1
A,40,3
B,40,3
C,40,2
D,40,3
E,40,1
F,40,0
G,40,2
H,40,0
I,40,0
A,41,5
B,41,7
C,41,3
D,41,1
E,41,2
F,41,0
G,41,0
I,41,0
A,42,0
B,42,1
C,42,2
D,42,1
E,42,2
F,42,0
G,42,2
H,42,0
I,42,1
