group,variable,value
A,01,1
B,01,12
C,01,1
D,01,2
E,01,0
F,01,6
G,01,2
H,01,2
I,01,1
A,02,6
B,02,4
C,02,5
D,02,2
E,02,2
F,02,3
G,02,3
H,02,3
I,02,2
A,03,2
B,03,7
C,03,0
D,03,2
E,03,5
F,03,2
G,03,0
H,03,2
I,03,1
A,04,3
B,04,7
C,04,7
D,04,5
E,04,3
F,04,2
G,04,1
H,04,2
I,04,1
A,05,3
B,05,4
C,05,7
D,05,2
E,05,4
F,05,4
G,05,4
H,05,0
I,05,3
A,06,4
B,06,0
C,06,1
D,06,1
E,06,3
F,06,1
G,06,1
H,06,2
I,06,3
A,07,0
B,07,2
C,07,2
D,07,0
E,07,8
F,07,2
G,07,4
H,07,5
I,07,5
A,08,6
B,08,6
C,08,3
D,08,3
E,08,5
F,08,2
G,08,0
H,08,7
I,08,4
A,09,4
B,09,3
C,09,3
D,09,0
E,09,4
F,09,6
G,09,3
H,09,3
I,09,1
A,10,4
B,10,3
C,10,4
D,10,1
E,10,0
F,10,2
G,10,6
H,10,0
I,10,0
A,11,3
B,11,3
C,11,0
D,11,8
E,11,5
F,11,0
G,11,0
H,11,3
I,11,2
A,12,0
B,12,0
C,12,1
D,12,1
E,12,3
F,12,10
G,12,1
H,12,4
I,12,0
A,13,1
B,13,0
C,13,2
D,13,6
E,13,7
F,13,6
G,13,0
H,13,2
I,13,0
A,14,0
B,14,1
C,14,1
D,14,6
E,14,15
F,14,9
G,14,0
H,14,8
I,14,2
A,15,1
B,15,3
C,15,3
D,15,2
E,15,7
F,15,2
G,15,4
H,15,2
I,15,5
A,16,0
B,16,2
C,16,2
D,16,7
E,16,2
F,16,3
G,16,0
H,16,0
I,16,0
A,17,1
B,17,1
C,17,3
D,17,1
E,17,1
F,17,7
G,17,0
H,17,1
I,17,2
A,18,1
C,18,4
D,18,0
E,18,0
F,18,3
G,18,4
H,18,1
I,18,3
A,19,2
B,19,4
C,19,2
D,19,2
E,19,2
F,19,4
G,19,1
H,19,6
A,20,0
B,20,0
C,20,0
D,20,2
E,20,2
F,20,6
G,20,1
A,21,1
B,21,3
C,21,0
D,21,3
E,21,2
F,21,2
G,21,4
H,21,1
A,22,4
B,22,1
C,22,4
D,22,2
E,22,0
F,22,3
G,22,3
H,22,0
I,22,0
A,23,2
B,23,0
C,23,1
D,23,0
E,23,0
F,23,2
H,23,0
I,23,0
A,24,0
B,24,1
I,24,1
A,25,1
B,25,1
I,25,2
A,26,0
B,26,0
I,26,2
A,27,1
B,27,1
I,27,1
A,28,3
B,28,0
C,28,0
D,28,2
I,28,0
A,29,0
B,29,5
C,29,0
D,29,2
H,29,0
I,29,1
A,30,3
B,30,10
C,30,2
D,30,0
E,30,0
F,30,0
H,30,1
I,30,0
A,31,6
B,31,3
C,31,1
D,31,4
E,31,3
F,31,0
G,31,0
H,31,0
I,31,0
A,32,1
B,32,1
C,32,4
D,32,10
E,32,12
F,32,3
G,32,1
H,32,0
I,32,1
A,33,0
B,33,2
C,33,1
D,33,1
E,33,3
F,33,5
G,33,0
H,33,0
I,33,1
A,34,3
B,34,0
C,34,1
D,34,1
E,34,1
F,34,0
G,34,1
H,34,1
I,34,2
A,35,4
B,35,3
C,35,0
D,35,1
E,35,2
F,35,4
G,35,0
H,35,0
I,35,1
A,36,3
B,36,2
C,36,6
D,36,1
E,36,1
F,36,4
G,36,1
H,36,0
I,36,7
A,37,0
B,37,4
C,37,1
D,37,0
E,37,3
F,37,1
G,37,2
H,37,2
I,37,1
A,38,1
B,38,2
C,38,10
D,38,2
E,38,1
F,38,0
G,38,3
H,38,1
I,38,1
A,39,1
B,39,3
C,39,2
D,39,0
E,39,0
F,39,1
G,39,1
H,39,4
I,39,2
A,40,2
B,40,0
C,40,2
D,40,2
E,40,1
F,40,1
G,40,4
H,40,0
I,40,1
A,41,1
B,41,2
C,41,1
D,41,2
E,41,1
F,41,0
G,41,1
I,41,0
A,42,0
B,42,0
C,42,2
D,42,3
E,42,1
F,42,1
G,42,1
H,42,1
I,42,1
