group,variable,value
A,01,4
B,01,10
C,01,10
D,01,8
E,01,7
F,01,1
G,01,5
H,01,3
I,01,0
A,02,6
B,02,8
C,02,9
D,02,3
E,02,4
F,02,3
G,02,3
H,02,0
I,02,2
A,03,8
B,03,7
C,03,1
D,03,12
E,03,11
F,03,14
G,03,1
H,03,5
I,03,6
A,04,8
B,04,2
C,04,14
D,04,9
E,04,6
F,04,2
G,04,3
H,04,5
I,04,2
A,05,4
B,05,5
C,05,7
D,05,7
E,05,10
F,05,7
G,05,4
H,05,1
I,05,1
A,06,9
B,06,9
C,06,1
D,06,3
E,06,2
F,06,3
G,06,5
H,06,3
I,06,1
A,07,1
B,07,5
C,07,4
D,07,0
E,07,5
F,07,6
G,07,9
H,07,16
I,07,0
A,08,2
B,08,11
C,08,6
D,08,5
E,08,5
F,08,2
G,08,2
H,08,7
I,08,14
A,09,2
B,09,12
C,09,2
D,09,3
E,09,4
F,09,5
G,09,1
H,09,11
I,09,14
A,10,2
B,10,5
C,10,5
D,10,2
E,10,3
F,10,6
G,10,3
H,10,4
I,10,4
A,11,4
B,11,5
C,11,0
D,11,10
E,11,8
F,11,1
G,11,2
H,11,3
I,11,8
A,12,2
B,12,1
C,12,2
D,12,1
E,12,6
F,12,15
G,12,6
H,12,3
I,12,0
A,13,1
B,13,0
C,13,2
D,13,17
E,13,19
F,13,6
G,13,3
H,13,5
I,13,0
A,14,4
B,14,8
C,14,1
D,14,17
E,14,21
F,14,8
G,14,3
H,14,5
I,14,3
A,15,2
B,15,7
C,15,4
D,15,8
E,15,9
F,15,12
G,15,4
H,15,3
I,15,7
A,16,6
B,16,3
C,16,5
D,16,10
E,16,6
F,16,8
G,16,3
H,16,1
I,16,2
A,17,2
B,17,3
C,17,1
D,17,0
E,17,5
F,17,0
G,17,2
H,17,1
I,17,1
A,18,2
C,18,7
D,18,5
E,18,1
F,18,1
G,18,4
H,18,2
I,18,6
A,19,6
B,19,2
C,19,2
D,19,2
E,19,1
F,19,4
G,19,0
H,19,5
A,20,2
B,20,10
C,20,2
D,20,2
E,20,2
F,20,7
G,20,3
A,21,4
B,21,5
C,21,1
D,21,6
E,21,1
F,21,5
G,21,3
H,21,1
A,22,3
B,22,6
C,22,2
D,22,4
E,22,1
F,22,5
G,22,2
H,22,2
I,22,2
A,23,0
B,23,3
C,23,1
D,23,0
E,23,0
F,23,3
H,23,0
I,23,1
A,24,0
B,24,0
I,24,0
A,25,1
B,25,2
I,25,1
A,26,4
B,26,0
I,26,8
A,27,1
B,27,2
I,27,3
A,28,3
B,28,1
C,28,0
D,28,4
I,28,0
A,29,3
B,29,4
C,29,4
D,29,6
H,29,0
I,29,1
A,30,1
B,30,12
C,30,3
D,30,2
E,30,1
F,30,0
H,30,2
I,30,2
A,31,5
B,31,2
C,31,0
D,31,6
E,31,5
F,31,4
G,31,0
H,31,2
I,31,3
A,32,8
B,32,7
C,32,11
D,32,2
E,32,17
F,32,10
G,32,4
H,32,1
I,32,5
A,33,3
B,33,11
C,33,2
D,33,5
E,33,6
F,33,7
G,33,0
H,33,0
I,33,8
A,34,4
B,34,2
C,34,4
D,34,3
E,34,0
F,34,1
G,34,1
H,34,3
I,34,5
A,35,9
B,35,4
C,35,9
D,35,4
E,35,8
F,35,4
G,35,0
H,35,0
I,35,1
A,36,3
B,36,1
C,36,9
D,36,3
E,36,3
F,36,8
G,36,0
H,36,4
I,36,13
A,37,2
B,37,6
C,37,8
D,37,8
E,37,7
F,37,2
G,37,6
H,37,3
I,37,3
A,38,4
B,38,4
C,38,10
D,38,3
E,38,10
F,38,6
G,38,5
H,38,2
I,38,1
A,39,2
B,39,4
C,39,4
D,39,2
E,39,4
F,39,5
G,39,2
H,39,6
I,39,0
A,40,3
B,40,13
C,40,3
D,40,7
E,40,4
F,40,2
G,40,0
H,40,2
I,40,2
A,41,0
B,41,2
C,41,5
D,41,3
E,41,8
F,41,0
G,41,2
I,41,2
A,42,2
B,42,1
C,42,4
D,42,4
E,42,5
F,42,1
G,42,2
H,42,2
I,42,0
