group,variable,value
A,01,1
B,01,5
C,01,1
D,01,4
E,01,0
F,01,0
G,01,0
H,01,1
I,01,1
A,02,6
B,02,4
C,02,3
D,02,2
E,02,1
F,02,8
G,02,0
H,02,2
I,02,2
A,03,1
B,03,3
C,03,2
D,03,13
E,03,3
F,03,5
G,03,1
H,03,2
I,03,6
A,04,2
B,04,1
C,04,11
D,04,3
E,04,2
F,04,1
G,04,0
H,04,1
I,04,2
A,05,0
B,05,5
C,05,7
D,05,0
E,05,9
F,05,3
G,05,0
H,05,0
I,05,3
A,06,4
B,06,5
C,06,1
D,06,0
E,06,0
F,06,1
G,06,3
H,06,1
I,06,2
A,07,1
B,07,3
C,07,2
D,07,2
E,07,4
F,07,6
G,07,4
H,07,7
I,07,2
A,08,6
B,08,3
C,08,2
D,08,1
E,08,1
F,08,2
G,08,0
H,08,4
I,08,3
A,09,6
B,09,4
C,09,3
D,09,1
E,09,0
F,09,1
G,09,2
H,09,2
I,09,2
A,10,2
B,10,2
C,10,1
D,10,1
E,10,1
F,10,5
G,10,3
H,10,1
I,10,1
A,11,3
B,11,2
C,11,0
D,11,1
E,11,1
F,11,1
G,11,1
H,11,1
I,11,6
A,12,2
B,12,0
C,12,1
D,12,1
E,12,4
F,12,6
G,12,0
H,12,0
I,12,0
A,13,2
B,13,2
C,13,3
D,13,7
E,13,2
F,13,2
G,13,0
H,13,2
I,13,1
A,14,2
B,14,0
C,14,0
D,14,3
E,14,4
F,14,5
G,14,0
H,14,4
I,14,3
A,15,0
B,15,2
C,15,3
D,15,3
E,15,3
F,15,6
G,15,4
H,15,0
I,15,7
A,16,1
B,16,1
C,16,1
D,16,6
E,16,6
F,16,1
G,16,1
H,16,6
I,16,0
A,17,1
B,17,3
C,17,0
D,17,1
E,17,6
F,17,4
G,17,3
H,17,0
I,17,2
A,18,1
C,18,4
D,18,0
E,18,1
F,18,0
G,18,3
H,18,2
I,18,0
A,19,0
B,19,3
C,19,4
D,19,0
E,19,2
F,19,2
G,19,0
H,19,2
A,20,0
B,20,1
C,20,7
D,20,1
E,20,1
F,20,2
G,20,3
A,21,1
B,21,2
C,21,3
D,21,2
E,21,0
F,21,2
G,21,0
H,21,0
A,22,1
B,22,2
C,22,5
D,22,1
E,22,0
F,22,1
G,22,3
H,22,1
I,22,1
A,23,1
B,23,1
C,23,1
D,23,0
E,23,1
F,23,2
H,23,1
I,23,1
A,24,5
B,24,1
I,24,0
A,25,1
B,25,0
I,25,3
A,26,0
B,26,1
I,26,0
A,27,1
B,27,0
I,27,3
A,28,2
B,28,0
C,28,2
D,28,2
I,28,1
A,29,0
B,29,2
C,29,3
D,29,0
H,29,1
I,29,0
A,30,2
B,30,7
C,30,1
D,30,0
E,30,0
F,30,0
H,30,0
I,30,3
A,31,1
B,31,0
C,31,1
D,31,2
E,31,1
F,31,2
G,31,0
H,31,1
I,31,1
A,32,4
B,32,3
C,32,6
D,32,7
E,32,1
F,32,7
G,32,0
H,32,1
I,32,0
A,33,1
B,33,1
C,33,1
D,33,1
E,33,3
F,33,2
G,33,1
H,33,0
I,33,3
A,34,4
B,34,3
C,34,4
D,34,2
E,34,0
F,34,1
G,34,0
H,34,2
I,34,3
A,35,7
B,35,6
C,35,0
D,35,0
E,35,1
F,35,1
G,35,1
H,35,0
I,35,0
A,36,3
B,36,6
C,36,4
D,36,0
E,36,3
F,36,2
G,36,0
H,36,1
I,36,5
A,37,0
B,37,3
C,37,1
D,37,0
E,37,5
F,37,0
G,37,4
H,37,3
I,37,1
A,38,3
B,38,1
C,38,9
D,38,5
E,38,3
F,38,4
G,38,3
H,38,0
I,38,2
A,39,1
B,39,0
C,39,2
D,39,2
E,39,1
F,39,4
G,39,3
H,39,0
I,39,0
A,40,5
B,40,3
C,40,8
D,40,9
E,40,3
F,40,0
G,40,6
H,40,0
I,40,2
A,41,6
B,41,1
C,41,4
D,41,3
E,41,2
F,41,0
G,41,0
I,41,2
A,42,1
B,42,0
C,42,0
D,42,0
E,42,3
F,42,4
G,42,3
H,42,3
I,42,1
