hectnum,hectgroup,value
1,A,11
1,B,27
1,C,12
1,D,16
1,E,8
1,F,8
1,G,7
1,H,4
1,I,4
2,A,15
2,B,17
2,C,21
2,D,8
2,E,12
2,F,17
2,G,7
2,H,6
2,I,4
3,A,11
3,B,21
3,C,4
3,D,22
3,E,17
3,F,21
3,G,6
3,H,13
3,I,13
4,A,11
4,B,11
4,C,22
4,D,18
4,E,12
4,F,4
4,G,6
4,H,6
4,I,6
5,A,9
5,B,10
5,C,20
5,D,11
5,E,16
5,F,12
5,G,6
5,H,1
5,I,8
6,A,15
6,B,9
6,C,12
6,D,10
6,E,6
6,F,7
6,G,10
6,H,5
6,I,8
7,A,5
7,B,15
7,C,9
7,D,2
7,E,11
7,F,20
7,G,16
7,H,26
7,I,8
8,A,9
8,B,18
8,C,10
8,D,12
8,E,10
8,F,8
8,G,2
8,H,15
8,I,21
9,A,16
9,B,19
9,C,10
9,D,4
9,E,7
9,F,12
9,G,10
9,H,15
9,I,16
10,A,8
10,B,9
10,C,8
10,D,6
10,E,3
10,F,15
10,G,21
10,H,8
10,I,5
11,A,5
11,B,13
11,C,1
11,D,13
11,E,11
11,F,6
11,G,3
11,H,13
11,I,9
12,A,6
12,B,3
12,C,4
12,D,5
12,E,14
12,F,21
12,G,12
12,H,8
12,I,1
13,A,9
13,B,2
13,C,9
13,D,25
13,E,24
13,F,9
13,G,4
13,H,10
13,I,1
14,A,10
14,B,11
14,C,3
14,D,32
14,E,28
14,F,15
14,G,5
14,H,12
14,I,7
15,A,3
15,B,8
15,C,8
15,D,14
15,E,15
15,F,17
15,G,18
15,H,10
15,I,13
16,A,9
16,B,4
16,C,0
16,D,19
16,E,20
16,F,9
16,G,6
16,H,6
16,I,4
17,A,4
17,B,6
17,C,5
17,D,7
17,E,14
17,F,13
17,G,5
17,H,2
17,I,5
18,A,6
18,B,0
18,C,11
18,D,5
18,E,1
18,F,4
18,G,7
18,H,5
18,I,12
19,A,6
19,B,7
19,C,8
19,D,5
19,E,5
19,F,10
19,G,3
19,H,6
19,I,0
20,A,3
20,B,13
20,C,9
20,D,3
20,E,2
20,F,17
20,G,6
20,H,0
20,I,0
21,A,9
21,B,12
21,C,6
21,D,12
21,E,5
21,F,11
21,G,11
21,H,6
21,I,0
22,A,9
22,B,12
22,C,16
22,D,7
22,E,2
22,F,15
22,G,8
22,H,4
22,I,3
23,A,5
23,B,7
23,C,5
23,D,1
23,E,1
23,F,5
23,G,0
23,H,1
23,I,4
24,A,7
24,B,1
24,C,0
24,D,0
24,E,0
24,F,0
24,G,0
24,H,0
24,I,1
25,A,6
25,B,2
25,C,0
25,D,0
25,E,0
25,F,0
25,G,0
25,H,0
25,I,11
26,A,8
26,B,1
26,C,0
26,D,0
26,E,0
26,F,0
26,G,0
26,H,0
26,I,8
27,A,3
27,B,2
27,C,0
27,D,0
27,E,0
27,F,0
27,G,0
27,H,0
27,I,9
28,A,6
28,B,3
28,C,4
28,D,8
28,E,0
28,F,0
28,G,0
28,H,0
28,I,2
29,A,4
29,B,7
29,C,8
29,D,8
29,E,0
29,F,0
29,G,0
29,H,2
29,I,1
30,A,5
30,B,21
30,C,3
30,D,2
30,E,4
30,F,1
30,G,0
30,H,4
30,I,7
31,A,9
31,B,7
31,C,4
31,D,11
31,E,10
31,F,6
31,G,1
31,H,5
31,I,4
32,A,14
32,B,10
32,C,19
32,D,15
32,E,30
32,F,15
32,G,5
32,H,4
32,I,9
33,A,5
33,B,18
33,C,6
33,D,12
33,E,22
33,F,8
33,G,5
33,H,2
33,I,14
34,A,8
34,B,4
34,C,6
34,D,6
34,E,2
34,F,2
34,G,2
34,H,8
34,I,11
35,A,20
35,B,11
35,C,14
35,D,11
35,E,11
35,F,4
35,G,3
35,H,2
35,I,3
36,A,11
36,B,9
36,C,10
36,D,3
36,E,5
36,F,12
36,G,2
36,H,4
36,I,21
37,A,3
37,B,11
37,C,9
37,D,10
37,E,14
37,F,4
37,G,15
37,H,10
37,I,7
38,A,10
38,B,7
38,C,21
38,D,10
38,E,17
38,F,12
38,G,11
38,H,2
38,I,6
39,A,4
39,B,7
39,C,8
39,D,10
39,E,7
39,F,9
39,G,9
39,H,7
39,I,4
40,A,10
40,B,17
40,C,15
40,D,14
40,E,7
40,F,3
40,G,8
40,H,2
40,I,3
41,A,7
41,B,16
41,C,11
41,D,10
41,E,11
41,F,2
41,G,2
41,H,0
41,I,3
42,A,2
42,B,2
42,C,10
42,D,7
42,E,6
42,F,6
42,G,6
42,H,7
42,I,3
